Local time,Open,High,Low,Close,Volume
01.08.2023 04:03:00.000 GMT+0200,1.09840,1.09846,1.09839,1.09844,197.49
01.08.2023 04:04:00.000 GMT+0200,1.09845,1.09862,1.09844,1.09862,165.28
01.08.2023 04:05:00.000 GMT+0200,1.09862,1.09867,1.09853,1.09861,404.7
01.08.2023 04:06:00.000 GMT+0200,1.09860,1.09865,1.09859,1.09864,144.65
01.08.2023 04:07:00.000 GMT+0200,1.09864,1.09869,1.09857,1.09869,113.28
01.08.2023 04:08:00.000 GMT+0200,1.09870,1.09870,1.09859,1.09859,169.25
01.08.2023 04:09:00.000 GMT+0200,1.09860,1.09864,1.09854,1.09856,74.15
01.08.2023 04:10:00.000 GMT+0200,1.09856,1.09858,1.09848,1.09851,230.05
01.08.2023 04:11:00.000 GMT+0200,1.09852,1.09852,1.09845,1.09846,116.9
01.08.2023 04:12:00.000 GMT+0200,1.09846,1.09853,1.09843,1.09850,284.33
01.08.2023 04:13:00.000 GMT+0200,1.09849,1.09859,1.09849,1.09854,222.08
01.08.2023 04:14:00.000 GMT+0200,1.09855,1.09855,1.09844,1.09848,191.62
01.08.2023 04:15:00.000 GMT+0200,1.09849,1.09851,1.09847,1.09850,45.54
01.08.2023 04:16:00.000 GMT+0200,1.09851,1.09854,1.09851,1.09854,18.9
01.08.2023 04:17:00.000 GMT+0200,1.09855,1.09860,1.09853,1.09860,114.69
01.08.2023 04:18:00.000 GMT+0200,1.09859,1.09866,1.09859,1.09866,305.73
01.08.2023 04:19:00.000 GMT+0200,1.09868,1.09870,1.09850,1.09850,87.95
01.08.2023 04:20:00.000 GMT+0200,1.09850,1.09854,1.09847,1.09854,136.62
01.08.2023 04:21:00.000 GMT+0200,1.09856,1.09859,1.09854,1.09854,105.31
01.08.2023 04:22:00.000 GMT+0200,1.09854,1.09858,1.09844,1.09845,239.99
01.08.2023 04:23:00.000 GMT+0200,1.09845,1.09846,1.09839,1.09839,115.76
01.08.2023 04:24:00.000 GMT+0200,1.09840,1.09841,1.09804,1.09804,229.9
01.08.2023 04:25:00.000 GMT+0200,1.09803,1.09816,1.09803,1.09814,316.56
01.08.2023 04:26:00.000 GMT+0200,1.09814,1.09824,1.09814,1.09823,176.14
01.08.2023 04:27:00.000 GMT+0200,1.09822,1.09827,1.09820,1.09826,52.85
01.08.2023 04:28:00.000 GMT+0200,1.09827,1.09831,1.09818,1.09829,218.99
01.08.2023 04:29:00.000 GMT+0200,1.09830,1.09834,1.09827,1.09827,160.17
01.08.2023 04:30:00.000 GMT+0200,1.09826,1.09835,1.09826,1.09831,112.9
01.08.2023 04:31:00.000 GMT+0200,1.09831,1.09831,1.09828,1.09829,41.4
